OBJECTID,FID_covert,Nom_Clase,ID_Clase,Area,COV,COV_ID,FID_Polygo,Name,FolderPath,Shape_Leng,Shape_Area,aream2,lon,lat,cover,Z
"236","51138",Tocones y Pedacería de Coral,"6",224.00000005500,"51138","51139","1",RF N,PUMA.kmz,0.00080956808,0.00000001915,220.78900000000,-86.95500000000,20.74400000000,bare substrate,-5.90000009537
"237","51139",Tocones y Pedacería de Coral,"6",96.00000005640,"51139","51140","1",RF N,PUMA.kmz,0.00037511084,0.00000000833,96.07700000000,-86.95500000000,20.74400000000,bare substrate,-5.46999941714
"238","51140",Tocones y Pedacería de Coral,"6",848.00000007600,"51140","51141","1",RF N,PUMA.kmz,0.00248575771,0.00000007360,848.67800000000,-86.95300000000,20.74400000000,bare substrate,-4.50000000000
"239","51141",Tocones y Pedacería de Coral,"6",64.00000004140,"51141","51142","1",RF N,PUMA.kmz,0.00029826557,0.00000000555,64.05100000000,-86.95400000000,20.74400000000,bare substrate,-6.07000111620
"240","51142",Tocones y Pedacería de Coral,"6",560.00000000700,"51142","51143","1",RF N,PUMA.kmz,0.00115967240,0.00000004039,465.67600000000,-86.95500000000,20.74400000000,bare substrate,-5.67479917729
"241","51143",Tocones y Pedacería de Coral,"6",1775.99999995000,"51143","51144","1",RF N,PUMA.kmz,0.00356435281,0.00000014999,1729.43700000000,-86.95300000000,20.74400000000,bare substrate,-5.58450692839
"298","99016",Estructura Coralina,"5",32.00000000630,"99016","99017","1",RF N,PUMA.kmz,0.00022597626,0.00000000278,32.02600000000,-86.95800000000,20.74200000000,life cover,-5.19999980927
"299","99017",Estructura Coralina,"5",16.00000001700,"99017","99018","1",RF N,PUMA.kmz,0.00014913098,0.00000000139,16.01300000000,-86.95800000000,20.74200000000,life cover,-5.18200003754
"300","99021",Estructura Coralina,"5",32.00000001540,"99021","99022","1",RF N,PUMA.kmz,0.00022597716,0.00000000278,32.02600000000,-86.95600000000,20.74300000000,life cover,-5.40799994669
"301","99023",Estructura Coralina,"5",31.99999997350,"99023","99024","1",RF N,PUMA.kmz,0.00022597805,0.00000000278,32.02600000000,-86.95500000000,20.74400000000,life cover,-5.90000009537
"306","104787",Comunidad de Pastos Marinos,"2",35456.00000010000,"104787","104788","1",RF N,PUMA.kmz,0.00416964771,0.00000025680,2961.10200000000,-86.95800000000,20.74300000000,life cover,-5.30477008574
"306","104787",Comunidad de Pastos Marinos,"2",35456.00000010000,"104787","104788","1",RF N,PUMA.kmz,0.00416964771,0.00000025680,2961.10200000000,-86.95800000000,20.74300000000,life cover,-5.30000019073
"306","104787",Comunidad de Pastos Marinos,"2",35456.00000010000,"104787","104788","1",RF N,PUMA.kmz,0.00416964771,0.00000025680,2961.10200000000,-86.95900000000,20.74200000000,life cover,-5.19999980927
"365","123319",Sedimentos,"1",399.99999997000,"123319","123320","1",RF N,PUMA.kmz,0.00098074670,0.00000003472,400.31900000000,-86.95500000000,20.74200000000,bare substrate,-4.50312013491
"366","123320",Sedimentos,"1",863.99999996100,"123320","123321","1",RF N,PUMA.kmz,0.00134674381,0.00000007499,864.69100000000,-86.95600000000,20.74200000000,bare substrate,-4.50000000000
"367","123321",Sedimentos,"1",384.00000002200,"123321","123322","1",RF N,PUMA.kmz,0.00089934906,0.00000003333,384.30700000000,-86.95300000000,20.74200000000,bare substrate,-5.09999990463
"437","124077",Macroalgas,"4",304.00000006300,"124077","124078","1",RF N,PUMA.kmz,0.00104847734,0.00000002639,304.24300000000,-86.95600000000,20.74200000000,life cover,-4.44171123708
"439","124079",Macroalgas,"4",447.99999999500,"124079","124080","1",RF N,PUMA.kmz,0.00127901227,0.00000003888,448.35700000000,-86.95300000000,20.74200000000,life cover,-5.30000019073
"441","124081",Macroalgas,"4",2160.00000002000,"124081","124082","1",RF N,PUMA.kmz,0.00442445418,0.00000018748,2161.72900000000,-86.95600000000,20.74200000000,life cover,-4.40407374349
"624","125850",Estructura Coralina,"5",271.99999994600,"125850","125851","1",RF N,PUMA.kmz,0.00089479040,0.00000002361,272.21900000000,-86.95600000000,20.74200000000,life cover,-4.40705809842
"625","125851",Estructura Coralina,"5",511.99999994200,"125851","125852","1",RF N,PUMA.kmz,0.00119305686,0.00000004444,512.41000000000,-86.95600000000,20.74200000000,life cover,-4.40000009537
"626","125852",Estructura Coralina,"5",783.99999999300,"125852","125853","1",RF N,PUMA.kmz,0.00119761013,0.00000006805,784.62800000000,-86.95400000000,20.74200000000,life cover,-3.64218597333
"627","125853",Estructura Coralina,"5",399.99999993700,"125853","125854","1",RF N,PUMA.kmz,0.00119760922,0.00000003472,400.32000000000,-86.95700000000,20.74200000000,life cover,-4.77199994447
"628","125854",Estructura Coralina,"5",111.99999998400,"125854","125855","1",RF N,PUMA.kmz,0.00052423912,0.00000000972,112.09000000000,-86.95600000000,20.74200000000,life cover,-5.01571438071
"629","125855",Estructura Coralina,"5",63.99999999860,"125855","125856","1",RF N,PUMA.kmz,0.00037510724,0.00000000555,64.05100000000,-86.95300000000,20.74200000000,life cover,-4.00399987817
"630","125856",Estructura Coralina,"5",159.99999999400,"125856","125857","1",RF N,PUMA.kmz,0.00051968406,0.00000001389,160.12800000000,-86.95300000000,20.74200000000,life cover,-4.25500079316
"631","125857",Estructura Coralina,"5",527.99999998500,"125857","125858","1",RF N,PUMA.kmz,0.00105303780,0.00000004583,528.42200000000,-86.95700000000,20.74200000000,life cover,-4.64151546887
"632","125858",Estructura Coralina,"5",384.00000000000,"125858","125859","1",RF N,PUMA.kmz,0.00089479400,0.00000003333,384.30600000000,-86.95300000000,20.74300000000,life cover,-4.64883278596
"633","125859",Estructura Coralina,"5",1472.00000004000,"125859","125860","1",RF N,PUMA.kmz,0.00223698723,0.00000012776,1473.17800000000,-86.95700000000,20.74300000000,life cover,-3.99329230551
"634","125860",Estructura Coralina,"5",1039.99999992000,"125860","125861","1",RF N,PUMA.kmz,0.00171274182,0.00000009027,1040.83300000000,-86.95400000000,20.74300000000,life cover,-4.15349101268
"635","125861",Estructura Coralina,"5",559.99999994100,"125861","125862","1",RF N,PUMA.kmz,0.00112988848,0.00000004861,560.44800000000,-86.95300000000,20.74300000000,life cover,-4.69999980927
"636","125862",Estructura Coralina,"5",79.99999999460,"125862","125863","1",RF N,PUMA.kmz,0.00037511084,0.00000000694,80.06400000000,-86.95400000000,20.74400000000,life cover,-5.60000097703
"637","125863",Estructura Coralina,"5",111.99999997000,"125863","125864","1",RF N,PUMA.kmz,0.00045195521,0.00000000972,112.09000000000,-86.95300000000,20.74400000000,life cover,-5.09881648061
"638","125864",Estructura Coralina,"5",192.00000000000,"125864","125865","1",RF N,PUMA.kmz,0.00060109159,0.00000001667,192.15500000000,-86.95300000000,20.74400000000,life cover,-5.28880550838
"792","128412",Tocones y Pedacería de Coral,"6",111.99999999200,"128412","128413","1",RF N,PUMA.kmz,0.00052423912,0.00000000972,112.09000000000,-86.95600000000,20.74200000000,bare substrate,-4.40000009537
"794","128414",Tocones y Pedacería de Coral,"6",224.00000001300,"128414","128415","1",RF N,PUMA.kmz,0.00075477134,0.00000001944,224.17800000000,-86.95500000000,20.74200000000,bare substrate,-3.86349001415
"795","128415",Tocones y Pedacería de Coral,"6",304.00000005000,"128415","128416","1",RF N,PUMA.kmz,0.00098074760,0.00000002639,304.24300000000,-86.95500000000,20.74200000000,bare substrate,-4.53000049808
"796","128416",Tocones y Pedacería de Coral,"6",384.00000004700,"128416","128417","1",RF N,PUMA.kmz,0.00141902772,0.00000003333,384.30800000000,-86.95400000000,20.74200000000,bare substrate,-3.81999824990
"797","128417",Tocones y Pedacería de Coral,"6",400.00000004100,"128417","128418","1",RF N,PUMA.kmz,0.00112076665,0.00000003472,400.31900000000,-86.95600000000,20.74200000000,bare substrate,-4.30000019073
"798","128418",Tocones y Pedacería de Coral,"6",416.00000002200,"128418","128419","1",RF N,PUMA.kmz,0.00097163477,0.00000003611,416.33300000000,-86.95600000000,20.74200000000,bare substrate,-4.25615375394
"799","128419",Tocones y Pedacería de Coral,"6",367.99999990800,"128419","128420","1",RF N,PUMA.kmz,0.00119305237,0.00000003194,368.29400000000,-86.95400000000,20.74200000000,bare substrate,-3.83962450665
"800","128420",Tocones y Pedacería de Coral,"6",112.00000000900,"128420","128421","1",RF N,PUMA.kmz,0.00052423822,0.00000000972,112.08900000000,-86.95600000000,20.74200000000,bare substrate,-4.19999980927
"801","128421",Tocones y Pedacería de Coral,"6",255.99999998700,"128421","128422","1",RF N,PUMA.kmz,0.00082705886,0.00000002222,256.20600000000,-86.95300000000,20.74200000000,bare substrate,-4.46465551387
"802","128422",Tocones y Pedacería de Coral,"6",239.99999994100,"128422","128423","1",RF N,PUMA.kmz,0.00096707790,0.00000002083,240.19300000000,-86.95600000000,20.74200000000,bare substrate,-4.50000000000
"803","128423",Tocones y Pedacería de Coral,"6",79.99999998210,"128423","128424","1",RF N,PUMA.kmz,0.00037510814,0.00000000694,80.06400000000,-86.95300000000,20.74200000000,bare substrate,-5.09200000297
"804","128424",Tocones y Pedacería de Coral,"6",64.00000003560,"128424","128425","1",RF N,PUMA.kmz,0.00037966590,0.00000000555,64.05100000000,-86.95600000000,20.74200000000,bare substrate,-4.62800044454
"805","128425",Tocones y Pedacería de Coral,"6",143.99999998200,"128425","128426","1",RF N,PUMA.kmz,0.00052879599,0.00000001250,144.11500000000,-86.95500000000,20.74200000000,bare substrate,-5.28812292072
"806","128426",Tocones y Pedacería de Coral,"6",63.99999995620,"128426","128427","1",RF N,PUMA.kmz,0.00037510904,0.00000000555,64.05200000000,-86.95400000000,20.74200000000,bare substrate,-3.39074970117
"807","128427",Tocones y Pedacería de Coral,"6",143.99999994700,"128427","128428","1",RF N,PUMA.kmz,0.00051968316,0.00000001250,144.11500000000,-86.95300000000,20.74200000000,bare substrate,-5.09999990463
